path,avg_volume,last_volume,RSI,Close_price,low_BB
trend\рисунок357.png,142281.43864784052,258355.345,27.094400362124034,27.837,28.31379651337054
trend\рисунок358.png,151645.86222923588,553373.449,22.945816794130234,22.494,22.89941999260947
trend\рисунок359.png,25792.781870431896,373661.657,17.71586533720862,208.17,210.53014248074751
trend\рисунок360.png,28391.946425249167,86522.357,26.66627671779854,205.1,203.16858918142853
trend\рисунок361.png,32223.113837209305,67978.349,27.604846548274224,196.1,195.83144679987006
trend\рисунок362.png,39433.198182724256,150855.795,26.294951047952452,185.5,187.26292840303753
trend\рисунок363.png,27838.509700996678,107107.142,15.01044433698611,175.41,175.57776082662264
trend\рисунок364.png,47802.37289036544,98071.52,28.097319979618323,18.3293,18.47866254118797
trend\рисунок365.png,153911.38002990032,151907.848,25.577795825426904,32.332,32.07826591543955
trend\рисунок366.png,142281.43864784052,258355.345,27.094400362124034,27.837,28.31379651337054
trend\рисунок367.png,151645.86222923588,553373.449,22.945816794130234,22.494,22.89941999260947
